Codigo,Codigo_Fabricante,Descripcion,Rubro,Marca,Stock,Precio_Original_USD,Precio_Final_USD,Ganancia_Unitaria_USD,Margen_Porcentaje
22477,NM-KIDS-B,"          Smartwatch Kids -0.96"" oled -bluetooh 4.0 -apk android/ios -app fitpro -bateria recargable -diseño dinosaurios -blue -Netmak (NM-KIDS-B)",Smartwatch y Smartband,Netmak,Si,8.48,14.08,5.60,66.0
17192,NM-C95,Adaptador Activo Dvi-D 24+1 (M) A Vga (H) -Netmak (NM-C95),Adaptadores,Netmak,Si,6.66,11.06,4.40,66.0
21911,UB500,Adaptador bluetooth 5.0 -usb 2.0 -hasta 10mts -ultra slim -black -TP-Link (UB500),Conectividad Ir Y Bluetooth,TP-Link,Si,6.76,11.22,4.46,66.0
21943,UE200,Adaptador lan USB 2.0 M a RJ-45 H Ethernet 10/100 -white -TP-Link (UE200),Conectividad Placas De Red,TP-Link,Si,12.16,20.19,8.03,66.0
22337,UE306,Adaptador lan USB 3.0 M a RJ-45 H Ethernet 10/100/1000Mbps -black -TP-Link (UE306),Conectividad Placas De Red,TP-Link,Si,11.94,19.82,7.88,66.0
4002,HE-2020,Adaptador usb 2.0 p/hdd sata/ide/mini ide -Noganet (HE-2020),Adaptadores,Noganet,Si,12.34,20.48,8.14,66.0
22267,MU6H,Adaptador wireless 433+200Mbps -dual band 2.4/5GHz -antena 5dbi -AC650 -TP-Link (Mercusys) (MU6H),Conectividad Placas De Red,Tp-Link (Mercusys),Si,8.59,14.26,5.67,66.0
7615,TL-WN781ND,Adaptador wireless PCI-E -150Mbps -antena desmontable -TP-Link (TL-WN781ND),Conectividad Placas De Red,TP-Link,Si,8.60,14.28,5.68,66.0
10147,TL-WN881ND,Adaptador wireless PCI-E -300Mbps -2 antenas 2dbi -low profile -TP-Link (TL-WN881ND),Conectividad Placas De Red,TP-Link,Si,11.81,19.60,7.79,66.0
11021,TL-WN725N,Adaptador wireless USB -150Mbps -mini adapter -TP-Link (TL-WN725N),Conectividad Placas De Red,TP-Link,Si,6.98,11.59,4.61,66.0
23673,U11,Adaptador wireless USB -286/600Mbps -dual band 2.4/5GHz -usb 2.0 -OFDMA/MU-MIMO -wifi 6 -compacto -Tenda U11 AX900 (U11),Conectividad Placas De Red,Tenda,Si,10.94,18.16,7.22,66.0
24485,ARCHER TX1U NANO,Adaptador wireless USB -287 Mbps -2.4GHz -nano usb 2.0 -MU-MIMO -OFDMA -black -TP-Link AX3000 (ARCHER TX1U NANO),Conectividad Placas De Red,TP-Link,Si,7.75,12.87,5.12,66.0
10927,TL-WN823N,Adaptador wireless USB -300Mbps -mini adapter -TP-Link (TL-WN823N),Conectividad Placas De Red,TP-Link,Si,9.25,15.36,6.11,66.0
14327,ARCHER T2U,Adaptador wireless USB -600Mbps (433+200) -mini adapter -TP-Link (ARCHER T2U),Conectividad Placas De Red,TP-Link,Si,10.87,18.04,7.17,66.0
24414,UB500 Plus,Adaptador wireless USB -bluetooth 5.3 -antena multidireccional ajustable -usb 2.0 -black -TP-Link (UB500 Plus),Conectividad Ir Y Bluetooth,TP-Link,Si,6.63,11.01,4.38,66.0
23394,NM-CS602,Adaptador wireless USB -dual band 2.4/5Ghz -600Mbps -mini adapter -Netmak (NM-CS602),Conectividad Placas De Red,Netmak,Si,10.15,16.85,6.70,66.0
19713,ARCHER T2U NANO,Adaptador wireless USB 200/433Mbps -dual band 2.4/5GHz -usb 2.0 -diseño mini -black -TP-Link AC600 (ARCHER T2U NANO),Conectividad Placas De Red,TP-Link,Si,10.62,17.63,7.01,66.0
23573,ARCHER T2UB NANO,Adaptador wireless USB 200/600Mbps -dual band 2.4/5GHz -usb 2.0 -diseño mini -black -TP-Link AC600 (ARCHER T2UB NANO),Conectividad Placas De Red,TP-Link,Si,11.76,19.52,7.76,66.0
