Producto_JS,Archivo_JS,Match_Excel,Marca,PrecioUSD,Similaridad
APPLE iPhone 15 Pro,import-productos-completos,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.351
APPLE iPhone 15 Pro,import-productos-final,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.351
APPLE iPhone 15 Pro,import-productos-completos,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.314
APPLE iPhone 15 Pro,import-productos-final,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.314
APPLE iPhone 15 Pro,import-productos-completos,Luz de emergencia 60 leds -c/soporte -10hs -Probattery (IE-3002),Probattery,13.41,0.313
APPLE iPhone 15 Pro,import-productos-final,Luz de emergencia 60 leds -c/soporte -10hs -Probattery (IE-3002),Probattery,13.41,0.313
Apple AirPods Pro,import-productos-completos,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.327
Apple AirPods Pro,import-productos-completos,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.294
Apple AirPods Pro,import-productos-completos,Cable power 220v M/H -1.5mts -tipo trebol -Netmak (NM-C46),Netmak,3.58,0.293
Apple Watch SE 2nd Gen GPS 44mm,add-more-products,Cartucho p/Epson XP-2101 -magenta -Gneiss (GN-EP206M),Gneiss,4.1,0.405
Apple Watch SE 2nd Gen GPS 44mm,add-more-products,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.341
Apple Watch SE 2nd Gen GPS 44mm,add-more-products,Cartucho p/Epson T25/TX125/TX320 (T133320) -magenta -Gneiss (GN-EP133M),Gneiss,1.43,0.333
Apple Watch Series 9 GPS 41mm,add-more-products,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.375
Apple Watch Series 9 GPS 41mm,add-more-products,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.358
Apple Watch Series 9 GPS 41mm,add-more-products,Cable USB a Type-C -1.8mts -black -Noganet (USB-C4),Noganet,1.29,0.35
