Producto_JS,Match_Excel,Marca,PrecioUSD,Similaridad,PrecioARS
APPLE iPhone 15 Pro,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.351,1345
APPLE iPhone 15 Pro,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.351,1345
APPLE iPhone 15 Pro,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.314,1345
APPLE iPhone 15 Pro,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.314,1345
APPLE iPhone 15 Pro,Luz de emergencia 60 leds -c/soporte -10hs -Probattery (IE-3002),Probattery,13.41,0.313,1345
APPLE iPhone 15 Pro,Luz de emergencia 60 leds -c/soporte -10hs -Probattery (IE-3002),Probattery,13.41,0.313,1345
Apple AirPods Pro,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.327,1345
Apple AirPods Pro,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.294,1345
Apple AirPods Pro,Cable power 220v M/H -1.5mts -tipo trebol -Netmak (NM-C46),Netmak,3.58,0.293,1345
Apple Watch SE 2nd Gen GPS 44mm,Cartucho p/Epson XP-2101 -magenta -Gneiss (GN-EP206M),Gneiss,4.1,0.405,1345
Apple Watch SE 2nd Gen GPS 44mm,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.341,1345
Apple Watch SE 2nd Gen GPS 44mm,Cartucho p/Epson T25/TX125/TX320 (T133320) -magenta -Gneiss (GN-EP133M),Gneiss,1.43,0.333,1345
Apple Watch Series 9 GPS 41mm,Cable UTP Patch Cord Cat5e -2mts -Noganet (PATCH 2),Noganet,0.8,0.375,1345
Apple Watch Series 9 GPS 41mm,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.358,1345
Apple Watch Series 9 GPS 41mm,Cable USB a Type-C -1.8mts -black -Noganet (USB-C4),Noganet,1.29,0.35,1345
Auricular Bluetooth,Auricular c/microfono -black -Genius HS-300N (31710146100),Genius,8.36,0.364,1345
Auricular Bluetooth,Auricular c/microfono -black -Genius HS-300N (31710146100),Genius,8.36,0.364,1345
Auricular Bluetooth,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.355,1345
Auricular Bluetooth,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.355,1345
Auricular Bluetooth,Auricular c/micrófono -cable 3.5 mm -bluetooth 5.0 -bat. 360mAh -pink -Netmak (NM-LIVE-P),Netmak,16.84,0.352,1345
Auricular Bluetooth,Auricular c/micrófono -cable 3.5 mm -bluetooth 5.0 -bat. 360mAh -pink -Netmak (NM-LIVE-P),Netmak,16.84,0.352,1345
BROTHER Impresora Láser,Cera p/impresoras de cabezal plano -110mm x 74mts (AWR1 FID),Generica,1.27,0.386,1345
BROTHER Impresora Láser,Cera p/impresoras de cabezal plano -110mm x 74mts (AWR1 FID),Generica,1.27,0.386,1345
BROTHER Impresora Láser,Tester de red para utp -Netmak (NM-R05),Netmak,4.72,0.355,1345
BROTHER Impresora Láser,Tester de red para utp -Netmak (NM-R05),Netmak,4.72,0.355,1345
