Codigo,Codigo_Fabricante,Descripcion,Rubro,Marca,Stock,Precio_Original_USD,Categoria,Precio_Final_USD,Ganancia_Unitaria_USD,Margen_Porcentaje
22639,PC ARMADA OP1,	 PC ARMADA -Intel Core i3-12100 -3.30GHz +  Gigabyte H610M K DDR4 + ddr4 8GB + ssd 480Gb + gab con fuente,PCs Armadas / AIOs,Generica,Si,342.82,4,411.38,68.56,20.0
23192,1F3Y2A,Impresora multifuncion -usb 2.0/bt/wifi/wifi direct -c/cable -display lcd -black/grey -HP Smart Tank 580 (1F3Y2A),Impresora Multifuncion Inyec Tinta,Hewlett Packard,Si,259.98,4,311.98,52.00,20.0
22477,NM-KIDS-B,"          Smartwatch Kids -0.96"" oled -bluetooh 4.0 -apk android/ios -app fitpro -bateria recargable -diseño dinosaurios -blue -Netmak (NM-KIDS-B)",Smartwatch y Smartband,Netmak,Si,8.48,2,14.08,5.60,66.0
20732,NG-611URS,Mouse optico -usb -800dpi -luminoso -pink -Noganet (NG-611URS),Mouses C/Cable,Noganet,Si,1.98,1,3.96,1.98,100.0
20827,BX8070110400F,Micro socket 1200 (10ma gen) -Intel Core i5-10400F -2.9GHz (up to 4.3GHz) -nucleos x6 -comet lake -sin video (BX8070110400F),Micro Socket 1200,Intel,Si,113.57,4,136.28,22.71,20.0
22963,DOMO-15-A2,Control remoto universal RF 433MHz -batería A27 -portatil y compacto -Demasled (DOMO-15-A2),Iluminacion,Demasled,Si,1.85,1,3.70,1.85,100.0
24419,CITY C85," Monopatin electrico -llanta 8.5"" -25Km/h -max. 120kg -motor 350w -plegable -bat. recargable 36v 10ah -luces led -black -Kany (City C85)",Accesorios y Gadgets Geeks,Kany,Si,667.32,4,800.78,133.46,20.0
24429,NM-BEAST-RGB,Silla gamer -iluminacion RGB -apoyabrazos -5 ruedas 50mm -respaldo reclinable -2 almohadones de refuerzo removibles -cubierta de cuero PU suave -ergonomica -black -Netmak (NM-BEAST-RGB),Muebles Sillas,Netmak,Si,205.37,4,246.44,41.07,20.0
23756,SPK8901BQMC,Teclado Español -Usb -Gamer Mechanical -With Rainbow Backlight -black Philips G901 (SPK8901BQMC),Teclados C/Cable,Philips,Si,28.37,3,39.72,11.35,40.0
24342,PASTA002,Acople universal de ravioles c/accesorio cortante -Cuk by Gadnic Ravioricca (PASTA002),Bazar y Hogar,Gadnic,Si,13.79,3,19.31,5.52,40.0
17192,NM-C95,Adaptador Activo Dvi-D 24+1 (M) A Vga (H) -Netmak (NM-C95),Adaptadores,Netmak,Si,6.66,2,11.06,4.40,66.0
22153,NSRIM2U,Adaptador M.2 a usb 3.0 p/riser -mineria -c/destornillador -Nisuta (NSRIM2U),Placas / Puertos / Controladoras / Hub usb,Nisuta,Si,0.51,1,1.02,0.51,100.0
18241,UE330,Adaptador USB 3.0 M a RJ-45 H Ethernet gigabit c/hub usb 3 puertos 3.0 -white -TP-Link (UE330),Conectividad Placas De Red,TP-Link,Si,32.09,4,38.51,6.42,20.0
19084,KCA314 600209,Adaptador audio 1 plug 3.5mm 4 contactos a 2 jack 3.5mm -audio splitter -black -Kolke (KCA314 600209),Adaptadores,Kolke,Si,0.88,1,1.76,0.88,100.0
21911,UB500,Adaptador bluetooth 5.0 -usb 2.0 -hasta 10mts -ultra slim -black -TP-Link (UB500),Conectividad Ir Y Bluetooth,TP-Link,Si,6.76,2,11.22,4.46,66.0
21896,NM-BT9,Adaptador bluetooth 5.0 -usb 2.0 -hasta 50mts -ultra slim -black -Netmak (NM-BT9),Conectividad Ir Y Bluetooth,Netmak,Si,4.14,1,8.28,4.14,100.0
24484,MA530 V1.2,Adaptador bluetooth 5.4 -nano usb -hasta 7 dispositivos -black -Tp-Link (Mercusys) MA530 V1.2,Conectividad Ir Y Bluetooth,Tp-Link (Mercusys),Si,3.55,1,7.10,3.55,100.0
22404,UE300C,Adaptador lan TYPE-C M a 1 port 10/100/1000Mbps RJ-45 H -Ethernet Gigabit -white -TP-Link (UE300C),Conectividad Placas De Red,TP-Link,Si,16.25,3,22.75,6.50,40.0
21943,UE200,Adaptador lan USB 2.0 M a RJ-45 H Ethernet 10/100 -white -TP-Link (UE200),Conectividad Placas De Red,TP-Link,Si,12.16,2,20.19,8.03,66.0
22337,UE306,Adaptador lan USB 3.0 M a RJ-45 H Ethernet 10/100/1000Mbps -black -TP-Link (UE306),Conectividad Placas De Red,TP-Link,Si,11.94,2,19.82,7.88,66.0
23385,UC400,Adaptador type-C a usb 3.0 M/H -cable 10cm -white -Tp-Link (UC400),Adaptadores,TP-Link,Si,6.07,1,12.14,6.07,100.0
4002,HE-2020,Adaptador usb 2.0 p/hdd sata/ide/mini ide -Noganet (HE-2020),Adaptadores,Noganet,Si,12.34,2,20.48,8.14,66.0
22267,MU6H,Adaptador wireless 433+200Mbps -dual band 2.4/5GHz -antena 5dbi -AC650 -TP-Link (Mercusys) (MU6H),Conectividad Placas De Red,Tp-Link (Mercusys),Si,8.59,2,14.26,5.67,66.0
7615,TL-WN781ND,Adaptador wireless PCI-E -150Mbps -antena desmontable -TP-Link (TL-WN781ND),Conectividad Placas De Red,TP-Link,Si,8.60,2,14.28,5.68,66.0
23445,ARCHER T2E,Adaptador wireless PCI-E -200/433Mbps -dual band -antena desmontable -TP-Link (ARCHER T2E),Conectividad Placas De Red,TP-Link,Si,14.35,3,20.09,5.74,40.0
10147,TL-WN881ND,Adaptador wireless PCI-E -300Mbps -2 antenas 2dbi -low profile -TP-Link (TL-WN881ND),Conectividad Placas De Red,TP-Link,Si,11.81,2,19.60,7.79,66.0
23446,ARCHER TX20E,Adaptador wireless PCI-E -574/1201Mbps -dual band 2.4/5GHz -Wifi 6 -Bluetooth 5.2 -2 antenas high gain -TP-Link (ARCHER TX20E),Conectividad Placas De Red,TP-Link,Si,27.46,3,38.44,10.98,40.0
22394,ARCHER TX55E,Adaptador wireless PCI-E -574/2402Mbps -dual band 2.4/5GHz -wifi 6 -bluetooth 5.2 -2 antenas high-gain -TP-Link AX3000 (ARCHER TX55E),Conectividad Placas De Red,TP-Link,Si,32.30,4,38.76,6.46,20.0
19053,NM-CS150,Adaptador wireless USB -150Mbps -mini adapter -Netmak (NM-CS150),Conectividad Placas De Red,Netmak,Si,4.59,1,9.18,4.59,100.0
11021,TL-WN725N,Adaptador wireless USB -150Mbps -mini adapter -TP-Link (TL-WN725N),Conectividad Placas De Red,TP-Link,Si,6.98,2,11.59,4.61,66.0
22097,MW150US,Adaptador wireless USB -150Mbps -mini adapter -Tp-Link (Mercusys) (MW150US),Conectividad Placas De Red,Tp-Link (Mercusys),Si,3.33,1,6.66,3.33,100.0
23673,U11,Adaptador wireless USB -286/600Mbps -dual band 2.4/5GHz -usb 2.0 -OFDMA/MU-MIMO -wifi 6 -compacto -Tenda U11 AX900 (U11),Conectividad Placas De Red,Tenda,Si,10.94,2,18.16,7.22,66.0
