Cód.,Cód. Fab.,Descripción,Rubro,Marca,Stock,Precios con IVA (DOLAR (U$S)),Descripción Detallada,Descripción Larga
22639,PC ARMADA OP1,	 PC ARMADA -Intel Core i3-12100 -3.30GHz +  Gigabyte H610M K DDR4 + ddr4 8GB + ssd 480Gb + gab con fuente,PCs Armadas / AIOs,Generica,Si,342.82,,
17955,NS-ADPSHH,Adaptador minidin H/H -6 pines -gray -Nisuta (NS-ADPSHH),Adaptadores,Nisuta,Si,0.0,,"Adaptador minidin 6 hembra-hembra

Características:
    Permite unir 2 cables PS2 macho
    Con conectores minidin 6 pines hembra en cada extremo "
23192,1F3Y2A,Impresora multifuncion -usb 2.0/bt/wifi/wifi direct -c/cable -display lcd -black/grey -HP Smart Tank 580 (1F3Y2A),Impresora Multifuncion Inyec Tinta,Hewlett Packard,Si,259.98,,"Impresora Multifuncional HP Smart Tank 580
Disfrute de confiabilidad diaria con la calidad HP que usted y ahorros sorprendentes
Impresión a Color
Impresión, copia , escaneado
1 Hi-Speed USB 2.0 (dispositivo); 1 Bluetooth de bajo consumo de energía; 1 Wi-Fi 802.11b/g/n; 1 Wi-Fi Direct

Especificaciones técnicas
Tecnología	
Tecnología de impresión	Inyección térmica de tinta HP
Funciones	Impresión, copia , escaneado
Impresión automática a doble cara	Manual (soporte para controlador suministrado)
Tipo de soportes admitidos	Papel común, Papeles para folletos mate, Papeles para folletos con brillo, Papeles fotográficos, Sobres, Otros papeles especiales de inyección de tinta
Conectividad	
Conexiones	1 Hi-Speed USB 2.0 (dispositivo); 1 Bluetooth de bajo consumo de energía; 1 Wi-Fi 802.11b/g/n; 1 Wi-Fi Direct
Rendimiento	
Velocidad b/n	Hasta 12 ppm
Velocidad color	Hasta 5 ppm
Capacidad de hojas	Hasta 100 hojas
Ciclo mensual (a4)	Up to 3,000 pages
Resolución de impresión	Hasta 1200 x 1200 ppp de reproducción
Resolución de escaneado	hasta 1200 ppp
Profundidad de bits/niveles de escala grises	24 bits
Otros	
Dimensiones del producto	434,66 x 361,53 x 157,26 mm
Consumibles	Botella de tinta original HP GT53 de 90 ml, negro, 1VV22AL; botella de tinta original HP GT52, cian, M0H54AL; Botella de tinta original HP GT52 de 70 ml, magenta, M0H55AL; Botella de tinta original HP GT52 de 70 ml, amarill, M0H56AL; Paquete de 3 botellas de tinta original HP GT52, cian/magenta/amarilla, X4E44AL Para obtener más información sobre el llenado y rendimiento, consulte http://www.hp.com/go/learnaboutsupplies."
22477,NM-KIDS-B,"          Smartwatch Kids -0.96"" oled -bluetooh 4.0 -apk android/ios -app fitpro -bateria recargable -diseño dinosaurios -blue -Netmak (NM-KIDS-B)",Smartwatch y Smartband,Netmak,Si,8.48,,"Reloj Smart Kids Bt 4.0
? Reloj inteligente con diseño especial infantil.
? Conexión Bluetooth 4.0.
? Carga directa desde el reloj.
? Compartible con android/iOS.
? App compatible: ""FITPRO"" para aprovechar al máximo tu reloj.
? Manual en español.
? Cámara remota.
? Multi deportes, notificaciones de redes sociales, alarma, aviso de llamada, control fitness y mucho más!"
20732,NG-611URS,Mouse optico -usb -800dpi -luminoso -pink -Noganet (NG-611URS),Mouses C/Cable,Noganet,Si,1.98,,"Mouse Óptico USB
Color y luminosidad para tus clicks.
Apto para cualquier superficie.

- 3 Botones y Scroll
- Zoom y Auto Scroll en Office
- Resolución de 800 dpi
- Conexión USB
- Apto para cualquier superficie
- Luminoso"
20827,BX8070110400F,Micro socket 1200 (10ma gen) -Intel Core i5-10400F -2.9GHz (up to 4.3GHz) -nucleos x6 -comet lake -sin video (BX8070110400F),Micro Socket 1200,Intel,Si,113.57,Procesador Intel Core  i5-10400F-2.9GHz (up to 4.3GHz) 6 nucleos Sin graficos,"Essentials
    Product Collection 10th Generation Intel® Core? i5 Processors
    Code Name Products formerly Comet Lake
    Vertical Segment Desktop
    Processor Number i5-10400F
    Lithography 14 nm
    Use Conditions PC/Client/Tablet

CPU Specifications
    # of Cores 6
    # of Threads 12
    Processor Base Frequency 2.90 GHz
    Max Turbo Frequency 4.30 GHz
    Cache 12 MB Intel® Smart Cache
    Bus Speed 8 GT/s
    Intel® Turbo Boost Technology 2.0 Frequency? 4.30 GHz
    TDP 65 W

Supplemental Information
    Embedded Options Available No
    Datasheet View now

Memory Specifications
    Max Memory Size (dependent on memory type) 128 GB
    Memory Types DDR4-2666
    Max # of Memory Channels 2
    Max Memory Bandwidth 41.6 GB/s
    ECC Memory Supported ? No

Expansion Options
    Scalability 1S Only
    PCI Express Revision 3.0
    PCI Express Configurations ? Up to 1x16, 2x8, 1x8+2x4
    Max # of PCI Express Lanes 16

Package Specifications
    Sockets Supported FCLGA1200
    Max CPU Configuration 1
    Thermal Solution Specification PCG 2015C
    TJUNCTION 100°C
    Package Size 37.5mm x 37.5mm

Advanced Technologies
    Intel® Optane? Memory Supported ? Yes
    Intel® Thermal Velocity Boost No
    Intel® Turbo Boost Max Technology 3.0 ? No
    Intel® Turbo Boost Technology ? 2.0
    Intel vPro® Platform Eligibility ? No
    Intel® Hyper-Threading Technology ? Yes
    Intel® Virtualization Technology (VT-x) ? Yes
    Intel® Virtualization Technology for Directed I/O (VT-d) ? Yes
    Intel® VT-x with Extended Page Tables (EPT) ? Yes
    Intel® Transactional Synchronization Extensions No
    Intel® 64 ? Yes
    Instruction Set 64-bit
    Instruction Set Extensions Intel® SSE4.1, Intel® SSE4.2, Intel® AVX2
    Idle States Yes
    Enhanced Intel SpeedStep® Technology Yes
    Thermal Monitoring Technologies Yes
    Intel® Identity Protection Technology ? Yes
    Intel® Stable Image Platform Program (SIPP) No

Security & Reliability
    Intel® AES New Instructions Yes
    Secure Key Yes
    Intel® Software Guard Extensions (Intel® SGX) Yes with Intel® ME
    Intel® OS Guard Yes
    Intel® Trusted Execution Technology ? No
    Execute Disable Bit ? Yes
    Intel® Boot Guard Yes"
22963,DOMO-15-A2,Control remoto universal RF 433MHz -batería A27 -portatil y compacto -Demasled (DOMO-15-A2),Iluminacion,Demasled,Si,1.85,Control Remoto RF Universal 4 botones 433MHz Demasled (DOMO-15-A2),"Código: domo-15-a2

Frecuencia 	RF 433 MHz
Compatibilidad 	DOMO-18-RF  
Material 	ABS V0 Fireproof  
Color de Carcasa 	Negro  
Rango Interior 	25 m
Rango Exterior 	80 m
Cantidad de baterías 	1  
Tipo de batería 	A27  
Largo 	55 mm
Ancho 	28 mm
Alto 	14 mm

Este control remoto universal con radio frecuencia es fácil de usar y portátil, debido a su tamaño compacto, puede abrocharlo en su llavero y transportarlo fácilmente, controlando sus dispositivos donde quiera que vaya. Cuenta con cuatro botones que pueden ser configurados para encender y apagar distintos complementos de su espacio, como luces y chimeneas. Es compatible con cualquier dispositivo que tenga una frecuencia de 433MHz.

La tecnología inalámbrica es especialmente útil en proyectos de remodelación y modernización, o cuando cortar paredes es especialmente difícil, como en un hogar tipo cabaña con troncos de madera o en casas hechas con material adobe.

 
Datos de interés:

Autosuficiente: Sin problemas, sin desorden ni soldadura, solo presione el botón y está encendido. Esto le brinda la oportunidad de ahorrar en facturas de energía y estar a bordo con la iluminación inteligente del hogar.

¿Cómo trabajan? Hay un interruptor colocado en un generador interior, cuando enciende el interruptor, proporciona energía cinética. La señal luego se transmite al receptor que envía la señal de encendido / apagado al dispositivo de iluminación o lámpara. El ruido es muy bajo, no afectará su ambiente de ninguna manera una vez que esté encendido. (Receptor NO ESTA INCULIDO)

Amplia variedad de aplicaciones: use estos convenientes interruptores para casas nuevas, remodelación sin necesidad de cables o alambres. Encima o al lado de usted cama, escritorio de noche, en puertas, pared y escritorio de oficina. Ayude a los pequeños de la casa proporcionándoles su propio interruptor de encendido / apagado a su nivel, por lo tanto; ya no te preocupes en cómo se acercarán para apagarlo.

Fácil de usar y fácil instalación: este interruptor cinético inalámbrico es fácil de usar y portátil, debido a su tamaño compacto, puede abrocharlo en su llavero, transportarlo fácilmente y controlar su iluminación donde quiera que vaya dentro del rango determinado."
24419,CITY C85," Monopatin electrico -llanta 8.5"" -25Km/h -max. 120kg -motor 350w -plegable -bat. recargable 36v 10ah -luces led -black -Kany (City C85)",Accesorios y Gadgets Geeks,Kany,Si,667.32,,"Kany E-scooter City C85

- Potencia de motor: 36v 350w
- Ruedas: 8.5"" neumáticas
- Batería: 36v 10ah litio
- Frenos a disco trasero y eléctrico delantero
- 3 niveles de potencia
- Velocidad máxima: 25 km/h
- Tiempo de carga: 5 horas
- Autonomía: 30 km*
- Medida: 109*22*44cm
- Medida plegado: 109*22*44cm
- Tamaño de caja: 111*26.5*46.5cm
- Peso unidad: 14 kg
- Carga máxima: 120kg
*La autonomía puede variar por factores externos como: viento, pendientes, peso del usuario, etc."
24429,NM-BEAST-RGB,Silla gamer -iluminacion RGB -apoyabrazos -5 ruedas 50mm -respaldo reclinable -2 almohadones de refuerzo removibles -cubierta de cuero PU suave -ergonomica -black -Netmak (NM-BEAST-RGB),Muebles Sillas,Netmak,Si,205.37,,"? Cubierta de cuero PU suave.
? Relleno de espuma de alta densidad.
? La tecnología RGB integrada transforma tu espacio de juego en un espectáculo visual. 
? Personaliza la iluminación con sus 358 modos y una amplia gama de colores y efectos. 
? Posee 2 almohadones de refuerzo removibles (Cervical y lumbar).
? Apoyabrazos con almohadilla de cuero regulable (90° a 135°). 
? Respaldo reclinable de 90º a 135º
? Ergonómica y súper resistente.
? Base de 5 ruedas resistentes de silicona (Diámetro 50mm).
? Límite de peso recomendado 120kg.
? 117-127 x 61,5 x 59cm (Alto-ancho- profundidad).
? Fácil armado, con manual en español.
? Incluye control remoto.
? Alimentación por USB
? Color: negro + luces Led RGB."
23756,SPK8901BQMC,Teclado Español -Usb -Gamer Mechanical -With Rainbow Backlight -black Philips G901 (SPK8901BQMC),Teclados C/Cable,Philips,Si,28.37,Teclado Philips G901 Mecanico Gamer Retroiluminado Compacto -cable 1.5mts -Negro (SPK8901BQMC),"Mechanical keyboard USB wired 87Keys Comfortable ergonomic design With Rainbow backlight 50 million, Blue switch"
